"","id_bu","id_bu_encuesta","encuesta","encuesta_a","encuesta_m","pond","secu","estrato","region_3","zona_u_r","gse","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","bienestar_2","bienestar_7_a","bienestar_7_d","bienestar_7_f","bienestar_7_g","percepcion_5","percepcion_6","percepcion_38","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_gz","eval_act_pol_1_gy","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_fo","eval_act_pol_1_co","eval_act_pol_1_hc","eval_act_pol_1_gq","eval_act_pol_1_gw","eval_act_pol_1_gx","eval_act_pol_1_ha","eval_act_pol_1_gu","eval_act_pol_1_dv","eval_act_pol_1_ae","eval_act_pol_1_em","eval_act_pol_1_ep","eval_act_pol_1_en","eval_act_pol_1_hb","eval_act_pol_1_fw","confianza_6_a","confianza_6_b","confianza_6_c","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_6_ab","confianza_6_ac","democracia_21","pobreza_62","democracia_19","religion_63","religion_81_b","religion_81_a","mtf_66","mtf_53","mtf_45_d","mtf_45_h","mtf_45_k","religion_14","religion_15_b","religion_15_c","religion_15_d","religion_15_e","religion_15_f","religion_64","religion_82","religion_2","religion_91","religion_86","religion_88_a","religion_88_b","religion_88_c","religion_89","confianza_16_a","confianza_16_b","confianza_16_c","confianza_16_d","confianza_16_e","confianza_16_f","confianza_16_g","confianza_16_h","religion_31_a","religion_31_b","religion_31_c","religion_32_b","religion_33_a","religion_33_b","religion_90_a","religion_90_b","religion_90_c","religion_90_d","religion_71_a","religion_71_b","religion_72_b","religion_67","religion_39_g","religion_39_c","religion_39_d","religion_59_b","religion_59_c","religion_59_e","religion_37_a","religion_37_b","religion_37_c","religion_37_d","religion_37_g","religion_37_e","religion_75_d","religion_75_e","interes_pol_1_b","iden_pol_3","iden_pol_3_a","elec_part_37","elec_pres_144_a","elec_pres_144_b_2","municipio_17_a","municipio_17_b","municipio_17_c","elec_muni_17","elec_muni_14_d","estallido_5","estallido_17","sexo","edad","info_enc_59_2","info_enc_58","info_enc_30_b","info_enc_8","mtf_60","estado_civil_g","info_enc_61","esc_nivel_1_c","info_enc_57","info_hogar_28_c","info_enc_62","salud_5_b"
"1219","1219-92",1219,92,2024,8,0.88854664,92035,6,5,1,3,7,1,11,2,2,6,4,4,4,4,3,3,4,2,2,-9,2,6,6,6,2,6,6,3,6,6,6,6,6,6,2,6,6,6,6,6,6,1,3,3,4,4,2,1,3,4,3,1,3,4,2,3,3,2,2,3,3,3,10,10,10,2,2,2,1,2,2,1,3,3,3,3,3,1,2,1,5,3,1,1,3,4,1,3,3,3,2,3,3,3,3,2,1,2,3,3,3,5,5,5,5,5,5,5,4,1,3,5,1,1,1,1,1,2,1,2,2,1,2,5,15,15,2,NA,5,8,2,4,4,3,5,4,2,55,1,2,NA,1,1,1,2,1,1,NA,2,5
"1220","1220-92",1220,92,2024,8,0.51459,92294,17,10,2,3,8,10,16,3,1,8,4,-7,-7,-7,4,3,3,1,1,4,4,6,6,4,3,3,6,4,6,6,6,6,6,6,2,2,6,6,6,6,3,3,3,2,3,3,2,4,2,3,2,3,3,2,4,3,3,1,2,2,3,1,8,4,4,3,4,2,-7,3,3,4,2,3,1,2,3,3,2,5,2,2,1,1,7,5,5,3,3,2,3,3,-9,-9,2,2,2,2,3,3,4,8,7,6,7,2,4,4,4,4,2,4,1,1,1,1,1,2,1,4,4,2,2,3,15,15,2,NA,-8,3,6,5,1,3,2,3,2,18,1,1,11,2,NA,8,1,4,2,4,4,5
"1221","1221-92",1221,92,2024,8,0.92977052,92294,17,10,2,3,3,7,10,3,-8,6,4,-7,4,-7,3,2,-8,-8,1,5,-9,6,6,6,-9,6,6,6,6,6,6,6,6,6,6,-9,6,6,6,6,6,2,-9,2,-9,-9,4,3,2,-9,-9,2,2,-9,-9,2,-9,2,2,3,2,-9,1,10,10,4,2,-9,4,2,-8,2,1,1,1,-9,1,-8,3,1,4,1,1,1,7,9,1,2,2,2,2,4,2,4,2,-89,-89,2,2,2,2,-9,10,-9,0,2,-8,-9,4,2,2,2,2,2,2,1,1,4,1,4,-89,4,1,5,15,15,1,1,NA,3,4,7,3,3,-9,-9,2,67,1,1,5,1,8,5,2,1,1,NA,7,2
"1222","1222-92",1222,92,2024,8,0.65747846,92222,20,13,1,2,9,16,14,3,1,8,3,5,5,-7,3,2,3,2,1,1,4,2,4,4,4,4,3,3,6,2,6,6,4,2,1,1,3,6,2,4,1,4,3,4,4,4,4,4,1,4,2,3,2,3,3,2,3,3,3,3,4,1,1,3,10,2,2,2,3,4,2,2,3,2,3,3,3,3,1,5,7,3,3,9,1,5,5,2,3,3,3,3,3,3,3,2,2,2,4,4,2,5,5,5,5,2,2,4,4,1,2,4,2,2,2,1,2,2,2,1,1,2,1,2,3,NA,1,1,NA,8,6,3,2,3,1,2,1,44,1,1,5,1,2,8,2,8,1,NA,1,5
"1223","1223-92",1223,92,2024,8,0.29773117,92222,20,13,1,3,9,1,5,4,1,10,4,-7,5,4,4,2,4,1,1,1,4,6,4,4,5,2,4,5,6,6,2,6,4,2,1,1,3,4,1,4,2,2,4,4,3,4,3,4,3,3,4,3,2,4,4,4,3,4,3,2,4,2,1,10,10,2,2,3,1,2,4,2,3,1,4,1,1,1,1,1,6,2,2,1,4,5,1,3,4,3,3,4,2,4,3,2,2,4,2,2,2,0,8,0,0,2,4,2,4,2,4,4,3,2,2,4,1,1,1,2,4,1,1,5,9,NA,1,1,NA,4,5,8,4,1,1,4,1,59,1,2,NA,1,1,5,2,2,1,NA,1,5
"1224","1224-92",1224,92,2024,8,0.57820102,92255,20,13,1,3,16,3,1,3,1,5,5,-7,5,-7,3,3,4,1,1,3,5,6,3,5,4,3,4,4,6,6,1,1,1,1,1,1,2,2,2,4,1,4,4,4,4,1,4,3,1,3,2,2,1,4,3,4,2,2,3,3,1,1,7,8,5,4,2,3,2,2,5,2,2,3,2,4,4,4,1,1,6,2,1,1,3,5,1,3,4,4,3,-8,1,-8,4,2,5,3,1,2,4,5,3,2,1,2,4,4,4,1,4,4,2,2,1,4,3,4,3,4,4,1,4,5,9,NA,1,1,NA,2,8,3,3,1,1,2,1,67,1,2,NA,1,3,8,2,4,1,NA,7,3
"1225","1225-92",1225,92,2024,8,1.27329938,92255,20,13,1,2,9,11,5,1,3,6,2,-7,4,4,3,4,5,3,1,6,2,2,2,1,2,1,2,1,6,2,6,2,1,3,3,3,2,2,4,3,3,4,4,1,4,3,3,4,2,4,4,1,4,3,2,3,4,1,2,3,2,1,10,10,10,1,1,2,1,4,4,2,2,4,1,4,1,4,1,9,8,2,4,5,1,3,1,3,3,4,3,4,3,4,2,1,1,1,1,2,1,3,3,3,5,2,2,2,2,2,4,5,2,2,2,2,4,4,4,4,2,4,2,2,18,NA,1,2,NA,5,3,6,3,2,5,5,1,53,1,2,NA,1,2,8,2,5,1,NA,1,7
"1226","1226-92",1226,92,2024,8,1.45684765,92255,20,13,1,3,1,3,8,3,3,6,3,5,-7,4,3,1,5,2,2,4,1,6,2,2,1,3,3,2,3,3,6,6,2,2,4,4,3,4,2,3,3,4,4,2,3,3,2,4,2,3,4,3,4,3,3,4,3,2,4,4,3,2,8,7,10,2,3,1,-7,4,2,2,2,1,4,4,2,3,2,9,7,2,2,5,1,4,2,4,4,4,4,4,4,3,3,1,1,2,4,1,3,4,4,5,5,4,4,3,4,1,3,4,3,2,3,2,1,1,2,2,2,1,1,4,17,NA,1,2,NA,9,7,8,3,3,3,4,2,22,1,2,NA,2,NA,8,2,3,2,4,2,1
"1227","1227-92",1227,92,2024,8,0.72289562,92255,20,13,1,4,3,1,9,4,1,8,5,5,5,-7,4,2,4,1,2,5,3,6,2,2,2,4,6,3,3,3,6,3,6,4,4,4,4,3,4,3,3,4,3,2,4,3,3,4,3,4,3,2,3,3,3,3,4,2,2,3,3,2,10,10,10,2,2,2,1,1,1,1,2,3,2,4,4,4,2,9,8,3,4,1,5,3,2,4,4,4,4,4,4,4,4,2,2,3,2,2,2,5,5,5,5,2,2,3,2,4,4,4,3,3,4,4,4,4,4,4,2,4,4,5,10,NA,1,2,NA,7,8,2,2,2,5,5,2,32,1,2,NA,1,2,1,2,4,2,8,8,4
"1228","1228-92",1228,92,2024,8,0.87747526,92246,20,13,1,4,9,3,6,3,1,10,4,-7,-7,-7,3,2,3,1,1,-8,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,1,1,1,1,2,-8,2,1,1,1,1,1,1,3,1,3,1,1,2,5,7,8,2,3,2,-7,2,4,4,1,4,4,4,4,4,3,9,8,3,3,8,5,3,8,1,3,3,3,3,3,3,1,3,3,3,2,3,3,6,5,5,1,3,5,3,4,2,2,3,3,3,2,3,1,3,3,2,3,1,3,3,18,NA,2,NA,1,8,4,9,3,3,-8,-8,2,21,2,2,NA,2,NA,8,2,5,2,-8,3,1
